,pvs,psi,rho
0,1,4.0565056800842285,0.8442689776420593
1,2,3.9479527473449707,0.7801445722579956
2,3,3.815308094024658,0.7854641079902649
3,4,4.186034202575684,0.8514090776443481
4,5,3.4497556686401367,0.9332491755485535
5,6,3.7007229328155518,0.8917229771614075
6,7,4.025856971740723,0.8924631476402283
7,8,3.1284995079040527,0.793121337890625
8,9,3.1609017848968506,0.8583760857582092
9,10,2.907226800918579,0.7938010096549988
10,11,3.195457935333252,0.8787670135498047
11,12,2.9670071601867676,0.8209277391433716
12,13,2.5648205280303955,0.9332804679870605
13,14,3.6050972938537598,0.8931082487106323
14,15,2.331268548965454,0.9153107404708862
15,16,3.651179790496826,0.8909357786178589
16,17,3.107318639755249,0.8521791100502014
17,18,2.5089924335479736,0.8272722959518433
18,19,3.5200002193450928,0.9075334668159485
19,20,3.4628469944000244,0.9322322010993958
20,21,3.6524674892425537,0.8307024240493774
21,22,2.636486530303955,0.7761086225509644
22,23,3.3734774589538574,0.8927699327468872
23,24,2.7928099632263184,0.8630603551864624
24,25,3.752187490463257,0.8323595523834229
